[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [YC#62] 1.574-1.574: YC 160620KB->160659KB (233624KB), 0.001 s, sum of pauses 0.553 ms, longest pause 0.553 ms.
[INFO ][memory ] [YC#63] 1.574-1.575: YC 160684KB->160724KB (233624KB), 0.001 s, sum of pauses 0.552 ms, longest pause 0.552 ms.
[INFO ][memory ] [YC#64] 1.575-1.576: YC 160748KB->160787KB (233624KB), 0.001 s, sum of pauses 0.558 ms, longest pause 0.558 ms.
[INFO ][memory ] [YC#65] 1.576-1.576: YC 160812KB->160852KB (233624KB), 0.001 s, sum of pauses 0.561 ms, longest pause 0.561 ms.
[INFO ][memory ] [YC#66] 1.576-1.577: YC 160876KB->160915KB (233624KB), 0.001 s, sum of pauses 0.537 ms, longest pause 0.537 ms.
[INFO ][memory ] [YC#67] 1.577-1.578: YC 160940KB->160980KB (233624KB), 0.001 s, sum of pauses 0.537 ms, longest pause 0.537 ms.
[INFO ][memory ] [YC#68] 1.578-1.578: YC 161004KB->161043KB (233624KB), 0.001 s, sum of pauses 0.601 ms, longest pause 0.601 ms.
[INFO ][memory ] [YC#69] 1.578-1.579: YC 161068KB->161108KB (233624KB), 0.001 s, sum of pauses 0.539 ms, longest pause 0.539 ms.
[INFO ][memory ] [YC#70] 1.579-1.580: YC 161132KB->161171KB (233624KB), 0.001 s, sum of pauses 0.541 ms, longest pause 0.541 ms.
[INFO ][memory ] [YC#71] 1.580-1.580: YC 161196KB->161236KB (233624KB), 0.001 s, sum of pauses 0.570 ms, longest pause 0.570 ms.
[INFO ][memory ] [YC#72] 1.581-1.581: YC 161260KB->161299KB (233624KB), 0.001 s, sum of pauses 0.560 ms, longest pause 0.560 ms.
[INFO ][memory ] [YC#73] 1.581-1.582: YC 161324KB->161364KB (233624KB), 0.001 s, sum of pauses 0.558 ms, longest pause 0.558 ms.
[INFO ][memory ] [YC#74] 1.582-1.582: YC 161388KB->161427KB (233624KB), 0.001 s, sum of pauses 0.534 ms, longest pause 0.534 ms.
[INFO ][memory ] [YC#75] 1.583-1.583: YC 161452KB->161492KB (233624KB), 0.001 s, sum of pauses 0.558 ms, longest pause 0.558 ms.
[INFO ][memory ] [YC#76] 1.583-1.584: YC 161516KB->161555KB (233624KB), 0.001 s, sum of pauses 0.561 ms, longest pause 0.561 ms.
[INFO ][memory ] [YC#77] 1.584-1.585: YC 161580KB->161620KB (233624KB), 0.001 s, sum of pauses 0.575 ms, longest pause 0.575 ms.
[INFO ][memory ] [YC#78] 1.585-1.585: YC 161644KB->161683KB (233624KB), 0.001 s, sum of pauses 0.559 ms, longest pause 0.559 ms.
[INFO ][memory ] [YC#79] 1.585-1.586: YC 161708KB->161748KB (233624KB), 0.001 s, sum of pauses 0.573 ms, longest pause 0.573 ms.
[INFO ][memory ] [YC#80] 1.586-1.587: YC 161772KB->161811KB (233624KB), 0.001 s, sum of pauses 0.538 ms, longest pause 0.538 ms.
[INFO ][memory ] [YC#81] 1.587-1.587: YC 161836KB->161876KB (233624KB), 0.001 s, sum of pauses 0.559 ms, longest pause 0.559 ms.
[INFO ][memory ] [YC#82] 1.587-1.588: YC 161900KB->161939KB (233624KB), 0.001 s, sum of pauses 0.538 ms, longest pause 0.538 ms.
[INFO ][memory ] [YC#83] 1.588-1.589: YC 161964KB->162004KB (233624KB), 0.001 s, sum of pauses 0.538 ms, longest pause 0.538 ms.
[INFO ][memory ] [YC#84] 1.589-1.589: YC 162028KB->162067KB (233624KB), 0.001 s, sum of pauses 0.542 ms, longest pause 0.542 ms.
[INFO ][memory ] [YC#85] 1.589-1.590: YC 162092KB->162132KB (233624KB), 0.001 s, sum of pauses 0.540 ms, longest pause 0.540 ms.
[INFO ][memory ] [YC#86] 1.590-1.591: YC 162156KB->162195KB (233624KB), 0.001 s, sum of pauses 0.532 ms, longest pause 0.532 ms.
[INFO ][memory ] [YC#87] 1.591-1.591: YC 162220KB->162260KB (233624KB), 0.001 s, sum of pauses 0.535 ms, longest pause 0.535 ms.
[INFO ][memory ] [YC#88] 1.591-1.592: YC 162284KB->162387KB (233624KB), 0.001 s, sum of pauses 0.578 ms, longest pause 0.578 ms.
[INFO ][memory ] [YC#89] 1.592-1.593: YC 162412KB->162452KB (233624KB), 0.001 s, sum of pauses 0.537 ms, longest pause 0.537 ms.
[INFO ][memory ] [YC#90] 1.593-1.593: YC 162476KB->162515KB (233624KB), 0.001 s, sum of pauses 0.549 ms, longest pause 0.549 ms.
[INFO ][memory ] [YC#91] 1.593-1.594: YC 162540KB->162580KB (233624KB), 0.001 s, sum of pauses 0.539 ms, longest pause 0.539 ms.
[INFO ][memory ] [YC#92] 1.594-1.595: YC 162604KB->162643KB (233624KB), 0.001 s, sum of pauses 0.561 ms, longest pause 0.561 ms.
[INFO ][memory ] [YC#93] 1.595-1.595: YC 162668KB->162708KB (233624KB), 0.001 s, sum of pauses 0.539 ms, longest pause 0.539 ms.
[INFO ][memory ] [YC#94] 1.595-1.596: YC 162732KB->162771KB (233624KB), 0.001 s, sum of pauses 0.541 ms, longest pause 0.541 ms.
[INFO ][memory ] [YC#95] 1.596-1.597: YC 162796KB->162836KB (233624KB), 0.001 s, sum of pauses 0.540 ms, longest pause 0.540 ms.
[INFO ][memory ] [YC#96] 1.597-1.597: YC 162860KB->162899KB (233624KB), 0.001 s, sum of pauses 0.542 ms, longest pause 0.542 ms.
[INFO ][memory ] [YC#97] 1.597-1.598: YC 162924KB->162964KB (233624KB), 0.001 s, sum of pauses 0.536 ms, longest pause 0.536 ms.
[INFO ][memory ] [YC#98] 1.598-1.599: YC 162988KB->163027KB (233624KB), 0.001 s, sum of pauses 0.544 ms, longest pause 0.544 ms.
[INFO ][memory ] [YC#99] 1.599-1.599: YC 163052KB->163092KB (233624KB), 0.001 s, sum of pauses 0.537 ms, longest pause 0.537 ms.
[INFO ][memory ] [YC#100] 1.600-1.600: YC 163116KB->163155KB (233624KB), 0.001 s, sum of pauses 0.536 ms, longest pause 0.536 ms.
[INFO ][memory ] [YC#101] 1.600-1.601: YC 163180KB->163220KB (233624KB), 0.001 s, sum of pauses 0.558 ms, longest pause 0.558 ms.
[INFO ][memory ] [YC#102] 1.601-1.601: YC 163244KB->163283KB (233624KB), 0.001 s, sum of pauses 0.544 ms, longest pause 0.544 ms.
[INFO ][memory ] [YC#103] 1.602-1.602: YC 163308KB->163348KB (233624KB), 0.001 s, sum of pauses 0.566 ms, longest pause 0.566 ms.
[INFO ][memory ] [YC#104] 1.602-1.603: YC 163372KB->163411KB (233624KB), 0.001 s, sum of pauses 0.538 ms, longest pause 0.538 ms.
[INFO ][memory ] [YC#105] 1.603-1.603: YC 163436KB->163476KB (233624KB), 0.001 s, sum of pauses 0.539 ms, longest pause 0.539 ms.
[INFO ][memory ] [YC#106] 1.604-1.604: YC 163500KB->163539KB (233624KB), 0.001 s, sum of pauses 0.537 ms, longest pause 0.537 ms.
[INFO ][memory ] [YC#107] 1.604-1.605: YC 163564KB->163604KB (233624KB), 0.001 s, sum of pauses 0.537 ms, longest pause 0.537 ms.
[INFO ][memory ] [YC#108] 1.605-1.605: YC 163628KB->163667KB (233624KB), 0.001 s, sum of pauses 0.556 ms, longest pause 0.556 ms.
[INFO ][memory ] [YC#109] 1.606-1.606: YC 163692KB->163732KB (233624KB), 0.001 s, sum of pauses 0.561 ms, longest pause 0.561 ms.
[INFO ][memory ] [YC#110] 1.606-1.607: YC 163756KB->163795KB (233624KB), 0.001 s, sum of pauses 0.536 ms, longest pause 0.536 ms.
