[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [YC#99] 2.508-2.509: YC 163250KB->163289KB (233632KB), 0.001 s, sum of pauses 0.600 ms, longest pause 0.600 ms.
[INFO ][memory ] [YC#100] 2.509-2.510: YC 163314KB->163353KB (233632KB), 0.001 s, sum of pauses 0.825 ms, longest pause 0.825 ms.
[INFO ][memory ] [YC#101] 2.510-2.511: YC 163378KB->163417KB (233632KB), 0.001 s, sum of pauses 0.601 ms, longest pause 0.601 ms.
[INFO ][memory ] [YC#102] 2.511-2.512: YC 163442KB->163481KB (233632KB), 0.001 s, sum of pauses 0.600 ms, longest pause 0.600 ms.
[INFO ][memory ] [YC#103] 2.512-2.512: YC 163506KB->163545KB (233632KB), 0.001 s, sum of pauses 0.598 ms, longest pause 0.598 ms.
[INFO ][memory ] [YC#104] 2.512-2.513: YC 163570KB->163609KB (233632KB), 0.001 s, sum of pauses 0.593 ms, longest pause 0.593 ms.
[INFO ][memory ] [YC#105] 2.513-2.514: YC 163634KB->163673KB (233632KB), 0.001 s, sum of pauses 0.596 ms, longest pause 0.596 ms.
[INFO ][memory ] [YC#106] 2.514-2.515: YC 163698KB->163737KB (233632KB), 0.001 s, sum of pauses 0.597 ms, longest pause 0.597 ms.
[INFO ][memory ] [YC#107] 2.515-2.515: YC 163762KB->163801KB (233632KB), 0.001 s, sum of pauses 0.596 ms, longest pause 0.596 ms.
[INFO ][memory ] [YC#108] 2.515-2.516: YC 163826KB->163865KB (233632KB), 0.001 s, sum of pauses 0.597 ms, longest pause 0.597 ms.
[INFO ][memory ] [YC#109] 2.516-2.517: YC 163890KB->163929KB (233632KB), 0.001 s, sum of pauses 0.595 ms, longest pause 0.595 ms.
[INFO ][memory ] [YC#110] 2.517-2.518: YC 163954KB->163993KB (233632KB), 0.001 s, sum of pauses 0.598 ms, longest pause 0.598 ms.
[INFO ][memory ] [YC#111] 2.518-2.518: YC 164018KB->164057KB (233632KB), 0.001 s, sum of pauses 0.612 ms, longest pause 0.612 ms.
[INFO ][memory ] [YC#112] 2.519-2.519: YC 164082KB->164121KB (233632KB), 0.001 s, sum of pauses 0.593 ms, longest pause 0.593 ms.
[INFO ][memory ] [YC#113] 2.519-2.520: YC 164146KB->164185KB (233632KB), 0.001 s, sum of pauses 0.992 ms, longest pause 0.992 ms.
[INFO ][memory ] [YC#114] 2.520-2.521: YC 164210KB->164249KB (233632KB), 0.001 s, sum of pauses 0.950 ms, longest pause 0.950 ms.
[INFO ][memory ] [YC#115] 2.522-2.522: YC 164274KB->164313KB (233632KB), 0.001 s, sum of pauses 0.600 ms, longest pause 0.600 ms.
[INFO ][memory ] [YC#116] 2.522-2.523: YC 164338KB->164377KB (233632KB), 0.001 s, sum of pauses 0.657 ms, longest pause 0.657 ms.
[INFO ][memory ] [YC#117] 2.523-2.524: YC 164402KB->164505KB (233632KB), 0.001 s, sum of pauses 0.616 ms, longest pause 0.616 ms.
[INFO ][memory ] [YC#118] 2.524-2.525: YC 164530KB->164569KB (233632KB), 0.001 s, sum of pauses 0.598 ms, longest pause 0.598 ms.
