[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [YC#53] 1.534-1.535: YC 162348KB->162452KB (233624KB), 0.001 s, sum of pauses 0.594 ms, longest pause 0.594 ms.
[INFO ][memory ] [YC#54] 1.535-1.535: YC 162476KB->162515KB (233624KB), 0.001 s, sum of pauses 0.569 ms, longest pause 0.569 ms.
[INFO ][memory ] [YC#55] 1.535-1.536: YC 162540KB->162580KB (233624KB), 0.001 s, sum of pauses 0.671 ms, longest pause 0.671 ms.
[INFO ][memory ] [YC#56] 1.536-1.537: YC 162604KB->162707KB (233624KB), 0.001 s, sum of pauses 0.586 ms, longest pause 0.586 ms.
[INFO ][memory ] [YC#57] 1.537-1.538: YC 162732KB->162836KB (233624KB), 0.001 s, sum of pauses 0.591 ms, longest pause 0.591 ms.
[INFO ][memory ] [YC#58] 1.538-1.538: YC 162860KB->162963KB (233624KB), 0.001 s, sum of pauses 0.585 ms, longest pause 0.585 ms.
[INFO ][memory ] [YC#59] 1.538-1.539: YC 162988KB->163028KB (233624KB), 0.001 s, sum of pauses 0.584 ms, longest pause 0.584 ms.
[INFO ][memory ] [YC#60] 1.539-1.540: YC 163052KB->163155KB (233624KB), 0.001 s, sum of pauses 0.554 ms, longest pause 0.554 ms.
[INFO ][memory ] [YC#61] 1.540-1.540: YC 163180KB->163284KB (233624KB), 0.001 s, sum of pauses 0.593 ms, longest pause 0.593 ms.
[INFO ][memory ] [YC#62] 1.541-1.541: YC 163308KB->163347KB (233624KB), 0.001 s, sum of pauses 0.581 ms, longest pause 0.581 ms.
[INFO ][memory ] [YC#63] 1.541-1.542: YC 163372KB->163412KB (233624KB), 0.001 s, sum of pauses 0.577 ms, longest pause 0.577 ms.
[INFO ][memory ] [YC#64] 1.542-1.543: YC 163436KB->163539KB (233624KB), 0.001 s, sum of pauses 0.596 ms, longest pause 0.596 ms.
[INFO ][memory ] [YC#65] 1.543-1.543: YC 163564KB->163604KB (233624KB), 0.001 s, sum of pauses 0.580 ms, longest pause 0.580 ms.
[INFO ][memory ] [YC#66] 1.543-1.544: YC 163628KB->163667KB (233624KB), 0.001 s, sum of pauses 0.572 ms, longest pause 0.572 ms.
[INFO ][memory ] [YC#67] 1.544-1.545: YC 163692KB->163796KB (233624KB), 0.001 s, sum of pauses 0.620 ms, longest pause 0.620 ms.
[INFO ][memory ] [YC#68] 1.545-1.545: YC 163820KB->163923KB (233624KB), 0.001 s, sum of pauses 0.582 ms, longest pause 0.582 ms.
[INFO ][memory ] [YC#69] 1.546-1.546: YC 163948KB->164052KB (233624KB), 0.001 s, sum of pauses 0.599 ms, longest pause 0.599 ms.
[INFO ][memory ] [YC#70] 1.546-1.547: YC 164076KB->164179KB (233624KB), 0.001 s, sum of pauses 0.582 ms, longest pause 0.582 ms.
[INFO ][memory ] [YC#71] 1.547-1.548: YC 164204KB->164244KB (233624KB), 0.001 s, sum of pauses 0.573 ms, longest pause 0.573 ms.
[INFO ][memory ] [YC#72] 1.548-1.548: YC 164268KB->164371KB (233624KB), 0.001 s, sum of pauses 0.606 ms, longest pause 0.606 ms.
[INFO ][memory ] [YC#73] 1.548-1.549: YC 164396KB->164500KB (233624KB), 0.001 s, sum of pauses 0.593 ms, longest pause 0.593 ms.
[INFO ][memory ] [YC#74] 1.549-1.550: YC 164524KB->164563KB (233624KB), 0.001 s, sum of pauses 0.584 ms, longest pause 0.584 ms.
[INFO ][memory ] [YC#75] 1.551-1.551: YC 164588KB->164692KB (233624KB), 0.001 s, sum of pauses 0.606 ms, longest pause 0.606 ms.
[INFO ][memory ] [YC#76] 1.551-1.552: YC 164716KB->164819KB (233624KB), 0.001 s, sum of pauses 0.594 ms, longest pause 0.594 ms.
[INFO ][memory ] [YC#77] 1.552-1.553: YC 164844KB->164948KB (233624KB), 0.001 s, sum of pauses 0.607 ms, longest pause 0.607 ms.
[INFO ][memory ] [YC#78] 1.553-1.553: YC 164972KB->165011KB (233624KB), 0.001 s, sum of pauses 0.581 ms, longest pause 0.581 ms.
[INFO ][memory ] [YC#79] 1.553-1.554: YC 165036KB->165076KB (233624KB), 0.001 s, sum of pauses 0.605 ms, longest pause 0.605 ms.
[INFO ][memory ] [YC#80] 1.554-1.555: YC 165100KB->165203KB (233624KB), 0.001 s, sum of pauses 0.601 ms, longest pause 0.601 ms.
