[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [YC#58] 1.719-1.720: YC 160300KB->160339KB (233624KB), 0.001 s, sum of pauses 0.542 ms, longest pause 0.542 ms.
[INFO ][memory ] [YC#59] 1.720-1.720: YC 160364KB->160467KB (233624KB), 0.001 s, sum of pauses 0.531 ms, longest pause 0.531 ms.
[INFO ][memory ] [YC#60] 1.720-1.721: YC 160492KB->160531KB (233624KB), 0.001 s, sum of pauses 0.534 ms, longest pause 0.534 ms.
[INFO ][memory ] [YC#61] 1.721-1.722: YC 160556KB->160595KB (233624KB), 0.001 s, sum of pauses 0.528 ms, longest pause 0.528 ms.
[INFO ][memory ] [YC#62] 1.722-1.722: YC 160620KB->160659KB (233624KB), 0.001 s, sum of pauses 0.529 ms, longest pause 0.529 ms.
[INFO ][memory ] [YC#63] 1.722-1.723: YC 160684KB->160723KB (233624KB), 0.001 s, sum of pauses 0.536 ms, longest pause 0.536 ms.
[INFO ][memory ] [YC#64] 1.723-1.724: YC 160748KB->160787KB (233624KB), 0.001 s, sum of pauses 0.534 ms, longest pause 0.534 ms.
[INFO ][memory ] [YC#65] 1.724-1.724: YC 160812KB->160851KB (233624KB), 0.001 s, sum of pauses 0.527 ms, longest pause 0.527 ms.
[INFO ][memory ] [YC#66] 1.724-1.725: YC 160876KB->160915KB (233624KB), 0.001 s, sum of pauses 0.528 ms, longest pause 0.528 ms.
[INFO ][memory ] [YC#67] 1.725-1.726: YC 160940KB->160979KB (233624KB), 0.001 s, sum of pauses 0.531 ms, longest pause 0.531 ms.
[INFO ][memory ] [YC#68] 1.726-1.726: YC 161004KB->161043KB (233624KB), 0.001 s, sum of pauses 0.541 ms, longest pause 0.541 ms.
[INFO ][memory ] [YC#69] 1.726-1.727: YC 161068KB->161107KB (233624KB), 0.001 s, sum of pauses 0.587 ms, longest pause 0.587 ms.
[INFO ][memory ] [YC#70] 1.727-1.728: YC 161132KB->161171KB (233624KB), 0.001 s, sum of pauses 0.529 ms, longest pause 0.529 ms.
[INFO ][memory ] [YC#71] 1.728-1.728: YC 161196KB->161235KB (233624KB), 0.001 s, sum of pauses 0.529 ms, longest pause 0.529 ms.
[INFO ][memory ] [YC#72] 1.728-1.729: YC 161260KB->161299KB (233624KB), 0.001 s, sum of pauses 0.530 ms, longest pause 0.530 ms.
[INFO ][memory ] [YC#73] 1.729-1.730: YC 161324KB->161363KB (233624KB), 0.001 s, sum of pauses 0.578 ms, longest pause 0.578 ms.
[INFO ][memory ] [YC#74] 1.730-1.731: YC 161388KB->161427KB (233624KB), 0.001 s, sum of pauses 0.925 ms, longest pause 0.925 ms.
[INFO ][memory ] [YC#75] 1.731-1.732: YC 161452KB->161491KB (233624KB), 0.001 s, sum of pauses 0.918 ms, longest pause 0.918 ms.
[INFO ][memory ] [YC#76] 1.732-1.732: YC 161516KB->161555KB (233624KB), 0.001 s, sum of pauses 0.533 ms, longest pause 0.533 ms.
[INFO ][memory ] [YC#77] 1.733-1.733: YC 161580KB->161619KB (233624KB), 0.001 s, sum of pauses 0.538 ms, longest pause 0.538 ms.
[INFO ][memory ] [YC#78] 1.733-1.734: YC 161644KB->161683KB (233624KB), 0.001 s, sum of pauses 0.526 ms, longest pause 0.526 ms.
[INFO ][memory ] [YC#79] 1.734-1.734: YC 161708KB->161747KB (233624KB), 0.001 s, sum of pauses 0.529 ms, longest pause 0.529 ms.
[INFO ][memory ] [YC#80] 1.735-1.735: YC 161772KB->161811KB (233624KB), 0.001 s, sum of pauses 0.530 ms, longest pause 0.530 ms.
[INFO ][memory ] [YC#81] 1.735-1.736: YC 161836KB->161875KB (233624KB), 0.001 s, sum of pauses 0.528 ms, longest pause 0.528 ms.
[INFO ][memory ] [YC#82] 1.736-1.736: YC 161900KB->161939KB (233624KB), 0.001 s, sum of pauses 0.529 ms, longest pause 0.529 ms.
[INFO ][memory ] [YC#83] 1.737-1.737: YC 161964KB->162003KB (233624KB), 0.001 s, sum of pauses 0.534 ms, longest pause 0.534 ms.
[INFO ][memory ] [YC#84] 1.737-1.738: YC 162028KB->162067KB (233624KB), 0.001 s, sum of pauses 0.534 ms, longest pause 0.534 ms.
[INFO ][memory ] [YC#85] 1.738-1.738: YC 162092KB->162131KB (233624KB), 0.001 s, sum of pauses 0.546 ms, longest pause 0.546 ms.
[INFO ][memory ] [YC#86] 1.739-1.739: YC 162156KB->162195KB (233624KB), 0.001 s, sum of pauses 0.609 ms, longest pause 0.609 ms.
[INFO ][memory ] [YC#87] 1.739-1.740: YC 162220KB->162259KB (233624KB), 0.001 s, sum of pauses 0.535 ms, longest pause 0.535 ms.
[INFO ][memory ] [YC#88] 1.740-1.741: YC 162284KB->162387KB (233624KB), 0.001 s, sum of pauses 0.555 ms, longest pause 0.555 ms.
[INFO ][memory ] [YC#89] 1.741-1.741: YC 162412KB->162451KB (233624KB), 0.001 s, sum of pauses 0.530 ms, longest pause 0.530 ms.
[INFO ][memory ] [YC#90] 1.741-1.742: YC 162476KB->162515KB (233624KB), 0.001 s, sum of pauses 0.528 ms, longest pause 0.528 ms.
[INFO ][memory ] [YC#91] 1.742-1.742: YC 162540KB->162579KB (233624KB), 0.001 s, sum of pauses 0.535 ms, longest pause 0.535 ms.
[INFO ][memory ] [YC#92] 1.743-1.743: YC 162604KB->162643KB (233624KB), 0.001 s, sum of pauses 0.532 ms, longest pause 0.532 ms.
[INFO ][memory ] [YC#93] 1.743-1.744: YC 162668KB->162707KB (233624KB), 0.001 s, sum of pauses 0.532 ms, longest pause 0.532 ms.
[INFO ][memory ] [YC#94] 1.744-1.744: YC 162732KB->162771KB (233624KB), 0.001 s, sum of pauses 0.528 ms, longest pause 0.528 ms.
[INFO ][memory ] [YC#95] 1.745-1.745: YC 162796KB->162835KB (233624KB), 0.001 s, sum of pauses 0.533 ms, longest pause 0.533 ms.
[INFO ][memory ] [YC#96] 1.745-1.746: YC 162860KB->162899KB (233624KB), 0.001 s, sum of pauses 0.527 ms, longest pause 0.527 ms.
[INFO ][memory ] [YC#97] 1.746-1.746: YC 162924KB->162963KB (233624KB), 0.001 s, sum of pauses 0.529 ms, longest pause 0.529 ms.
[INFO ][memory ] [YC#98] 1.747-1.747: YC 162988KB->163027KB (233624KB), 0.001 s, sum of pauses 0.538 ms, longest pause 0.538 ms.
[INFO ][memory ] [YC#99] 1.747-1.748: YC 163052KB->163091KB (233624KB), 0.001 s, sum of pauses 0.529 ms, longest pause 0.529 ms.
[INFO ][memory ] [YC#100] 1.748-1.748: YC 163116KB->163155KB (233624KB), 0.001 s, sum of pauses 0.533 ms, longest pause 0.533 ms.
[INFO ][memory ] [YC#101] 1.749-1.749: YC 163180KB->163219KB (233624KB), 0.001 s, sum of pauses 0.528 ms, longest pause 0.528 ms.
[INFO ][memory ] [YC#102] 1.749-1.750: YC 163244KB->163283KB (233624KB), 0.001 s, sum of pauses 0.529 ms, longest pause 0.529 ms.
[INFO ][memory ] [YC#103] 1.750-1.750: YC 163308KB->163347KB (233624KB), 0.001 s, sum of pauses 0.531 ms, longest pause 0.531 ms.
[INFO ][memory ] [YC#104] 1.750-1.751: YC 163372KB->163411KB (233624KB), 0.001 s, sum of pauses 0.542 ms, longest pause 0.542 ms.
[INFO ][memory ] [YC#105] 1.751-1.752: YC 163436KB->163475KB (233624KB), 0.001 s, sum of pauses 0.932 ms, longest pause 0.932 ms.
[INFO ][memory ] [YC#106] 1.752-1.753: YC 163500KB->163539KB (233624KB), 0.001 s, sum of pauses 0.921 ms, longest pause 0.921 ms.
[INFO ][memory ] [YC#107] 1.753-1.754: YC 163564KB->163603KB (233624KB), 0.001 s, sum of pauses 0.972 ms, longest pause 0.972 ms.
[INFO ][memory ] [YC#108] 1.754-1.755: YC 163628KB->163667KB (233624KB), 0.001 s, sum of pauses 0.917 ms, longest pause 0.917 ms.
[INFO ][memory ] [YC#109] 1.755-1.756: YC 163692KB->163731KB (233624KB), 0.001 s, sum of pauses 0.917 ms, longest pause 0.917 ms.
[INFO ][memory ] [YC#110] 1.757-1.757: YC 163756KB->163795KB (233624KB), 0.001 s, sum of pauses 0.919 ms, longest pause 0.919 ms.
[INFO ][memory ] [YC#111] 1.758-1.759: YC 163820KB->163859KB (233624KB), 0.001 s, sum of pauses 0.923 ms, longest pause 0.923 ms.
[INFO ][memory ] [YC#112] 1.759-1.760: YC 163884KB->163923KB (233624KB), 0.001 s, sum of pauses 0.919 ms, longest pause 0.919 ms.
[INFO ][memory ] [YC#113] 1.760-1.761: YC 163948KB->163987KB (233624KB), 0.001 s, sum of pauses 0.923 ms, longest pause 0.923 ms.
[INFO ][memory ] [YC#114] 1.761-1.762: YC 164012KB->164051KB (233624KB), 0.001 s, sum of pauses 0.808 ms, longest pause 0.808 ms.
[INFO ][memory ] [YC#115] 1.762-1.762: YC 164076KB->164115KB (233624KB), 0.001 s, sum of pauses 0.555 ms, longest pause 0.555 ms.
[INFO ][memory ] [YC#116] 1.762-1.763: YC 164140KB->164179KB (233624KB), 0.001 s, sum of pauses 0.537 ms, longest pause 0.537 ms.
[INFO ][memory ] [YC#117] 1.763-1.764: YC 164204KB->164307KB (233624KB), 0.001 s, sum of pauses 0.545 ms, longest pause 0.545 ms.
[INFO ][memory ] [YC#118] 1.764-1.764: YC 164332KB->164371KB (233624KB), 0.001 s, sum of pauses 0.535 ms, longest pause 0.535 ms.
[INFO ][memory ] [YC#119] 1.764-1.765: YC 164396KB->164435KB (233624KB), 0.001 s, sum of pauses 0.534 ms, longest pause 0.534 ms.
[INFO ][memory ] [YC#120] 1.765-1.766: YC 164460KB->164499KB (233624KB), 0.001 s, sum of pauses 0.536 ms, longest pause 0.536 ms.
[INFO ][memory ] [YC#121] 1.766-1.766: YC 164524KB->164563KB (233624KB), 0.001 s, sum of pauses 0.535 ms, longest pause 0.535 ms.
[INFO ][memory ] [YC#122] 1.766-1.767: YC 164588KB->164627KB (233624KB), 0.001 s, sum of pauses 0.539 ms, longest pause 0.539 ms.
[INFO ][memory ] [YC#123] 1.767-1.768: YC 164652KB->164691KB (233624KB), 0.001 s, sum of pauses 0.533 ms, longest pause 0.533 ms.
[INFO ][memory ] [YC#124] 1.768-1.768: YC 164716KB->164755KB (233624KB), 0.001 s, sum of pauses 0.545 ms, longest pause 0.545 ms.
[INFO ][memory ] [YC#125] 1.768-1.769: YC 164780KB->164819KB (233624KB), 0.001 s, sum of pauses 0.537 ms, longest pause 0.537 ms.
[INFO ][memory ] [YC#126] 1.769-1.770: YC 164844KB->164883KB (233624KB), 0.001 s, sum of pauses 0.539 ms, longest pause 0.539 ms.
[INFO ][memory ] [YC#127] 1.770-1.770: YC 164908KB->164947KB (233624KB), 0.001 s, sum of pauses 0.537 ms, longest pause 0.537 ms.
[INFO ][memory ] [YC#128] 1.770-1.771: YC 164972KB->165011KB (233624KB), 0.001 s, sum of pauses 0.533 ms, longest pause 0.533 ms.
[INFO ][memory ] [YC#129] 1.771-1.772: YC 165036KB->165075KB (233624KB), 0.001 s, sum of pauses 0.535 ms, longest pause 0.535 ms.
[INFO ][memory ] [YC#130] 1.772-1.772: YC 165100KB->165139KB (233624KB), 0.001 s, sum of pauses 0.536 ms, longest pause 0.536 ms.
[INFO ][memory ] [YC#131] 1.772-1.773: YC 165164KB->165203KB (233624KB), 0.001 s, sum of pauses 0.536 ms, longest pause 0.536 ms.
[INFO ][memory ] [YC#132] 1.773-1.774: YC 165228KB->165267KB (233624KB), 0.001 s, sum of pauses 0.533 ms, longest pause 0.533 ms.
[INFO ][memory ] [YC#133] 1.774-1.775: YC 165292KB->165331KB (233624KB), 0.001 s, sum of pauses 0.539 ms, longest pause 0.539 ms.
[INFO ][memory ] [YC#134] 1.775-1.775: YC 165356KB->165395KB (233624KB), 0.001 s, sum of pauses 0.529 ms, longest pause 0.529 ms.
[INFO ][memory ] [YC#135] 1.775-1.776: YC 165420KB->165459KB (233624KB), 0.001 s, sum of pauses 0.531 ms, longest pause 0.531 ms.
[INFO ][memory ] [YC#136] 1.776-1.777: YC 165484KB->165523KB (233624KB), 0.001 s, sum of pauses 0.534 ms, longest pause 0.534 ms.
[INFO ][memory ] [YC#137] 1.777-1.777: YC 165548KB->165651KB (233624KB), 0.001 s, sum of pauses 0.845 ms, longest pause 0.845 ms.
[INFO ][memory ] [YC#138] 1.778-1.779: YC 165676KB->165715KB (233624KB), 0.001 s, sum of pauses 0.913 ms, longest pause 0.913 ms.
[INFO ][memory ] [YC#139] 1.779-1.780: YC 165740KB->165779KB (233624KB), 0.001 s, sum of pauses 0.918 ms, longest pause 0.918 ms.
[INFO ][memory ] [YC#140] 1.780-1.781: YC 165804KB->165843KB (233624KB), 0.001 s, sum of pauses 0.908 ms, longest pause 0.908 ms.
[INFO ][memory ] [YC#141] 1.781-1.782: YC 165868KB->165907KB (233624KB), 0.001 s, sum of pauses 0.908 ms, longest pause 0.908 ms.
[INFO ][memory ] [YC#142] 1.782-1.783: YC 165932KB->165971KB (233624KB), 0.001 s, sum of pauses 0.911 ms, longest pause 0.911 ms.
[INFO ][memory ] [YC#143] 1.783-1.784: YC 165996KB->166035KB (233624KB), 0.001 s, sum of pauses 0.910 ms, longest pause 0.910 ms.
[INFO ][memory ] [YC#144] 1.784-1.785: YC 166060KB->166099KB (233624KB), 0.001 s, sum of pauses 0.908 ms, longest pause 0.908 ms.
[INFO ][memory ] [YC#145] 1.785-1.786: YC 166124KB->166163KB (233624KB), 0.001 s, sum of pauses 0.924 ms, longest pause 0.924 ms.
[INFO ][memory ] [YC#146] 1.786-1.787: YC 166188KB->166227KB (233624KB), 0.001 s, sum of pauses 0.937 ms, longest pause 0.937 ms.
[INFO ][memory ] [YC#147] 1.787-1.788: YC 166252KB->166291KB (233624KB), 0.001 s, sum of pauses 0.914 ms, longest pause 0.914 ms.
[INFO ][memory ] [YC#148] 1.788-1.789: YC 166316KB->166355KB (233624KB), 0.001 s, sum of pauses 0.915 ms, longest pause 0.915 ms.
[INFO ][memory ] [YC#149] 1.789-1.790: YC 166380KB->166419KB (233624KB), 0.001 s, sum of pauses 0.924 ms, longest pause 0.924 ms.
[INFO ][memory ] [YC#150] 1.790-1.791: YC 166444KB->166483KB (233624KB), 0.001 s, sum of pauses 0.913 ms, longest pause 0.913 ms.
[INFO ][memory ] [YC#151] 1.791-1.792: YC 166508KB->166547KB (233624KB), 0.001 s, sum of pauses 0.914 ms, longest pause 0.914 ms.
[INFO ][memory ] [YC#152] 1.792-1.793: YC 166572KB->166611KB (233624KB), 0.001 s, sum of pauses 0.914 ms, longest pause 0.914 ms.
[INFO ][memory ] [YC#153] 1.793-1.795: YC 166636KB->166675KB (233624KB), 0.001 s, sum of pauses 1.357 ms, longest pause 1.357 ms.
[INFO ][memory ] [YC#154] 1.795-1.796: YC 166700KB->166739KB (233624KB), 0.001 s, sum of pauses 0.921 ms, longest pause 0.921 ms.
[INFO ][memory ] [YC#155] 1.796-1.797: YC 166764KB->166803KB (233624KB), 0.001 s, sum of pauses 0.931 ms, longest pause 0.931 ms.
[INFO ][memory ] [YC#156] 1.797-1.798: YC 166828KB->166867KB (233624KB), 0.001 s, sum of pauses 0.917 ms, longest pause 0.917 ms.
[INFO ][memory ] [YC#157] 1.798-1.799: YC 166892KB->166931KB (233624KB), 0.001 s, sum of pauses 0.916 ms, longest pause 0.916 ms.
[INFO ][memory ] [YC#158] 1.799-1.802: YC 166956KB->166995KB (233624KB), 0.003 s, sum of pauses 0.929 ms, longest pause 0.929 ms.
[INFO ][memory ] [YC#159] 1.802-1.803: YC 167020KB->167059KB (233624KB), 0.001 s, sum of pauses 0.930 ms, longest pause 0.930 ms.
[INFO ][memory ] [YC#160] 1.803-1.804: YC 167084KB->167123KB (233624KB), 0.001 s, sum of pauses 0.919 ms, longest pause 0.919 ms.
[INFO ][memory ] [YC#161] 1.804-1.805: YC 167148KB->167187KB (233624KB), 0.001 s, sum of pauses 0.925 ms, longest pause 0.925 ms.
[INFO ][memory ] [YC#162] 1.805-1.806: YC 167212KB->167251KB (233624KB), 0.001 s, sum of pauses 0.918 ms, longest pause 0.918 ms.
[INFO ][memory ] [YC#163] 1.806-1.807: YC 167276KB->167315KB (233624KB), 0.001 s, sum of pauses 0.955 ms, longest pause 0.955 ms.
