[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [YC#52] 1.656-1.657: YC 159916KB->159955KB (233624KB), 0.001 s, sum of pauses 1.069 ms, longest pause 1.069 ms.
[INFO ][memory ] [YC#53] 1.657-1.658: YC 159980KB->160019KB (233624KB), 0.001 s, sum of pauses 0.916 ms, longest pause 0.916 ms.
[INFO ][memory ] [YC#54] 1.658-1.659: YC 160044KB->160083KB (233624KB), 0.001 s, sum of pauses 0.925 ms, longest pause 0.925 ms.
[INFO ][memory ] [YC#55] 1.660-1.661: YC 160108KB->160147KB (233624KB), 0.001 s, sum of pauses 0.916 ms, longest pause 0.916 ms.
[INFO ][memory ] [YC#56] 1.661-1.662: YC 160172KB->160211KB (233624KB), 0.001 s, sum of pauses 0.911 ms, longest pause 0.911 ms.
[INFO ][memory ] [YC#57] 1.662-1.663: YC 160236KB->160275KB (233624KB), 0.001 s, sum of pauses 0.912 ms, longest pause 0.912 ms.
[INFO ][memory ] [YC#58] 1.663-1.664: YC 160300KB->160339KB (233624KB), 0.001 s, sum of pauses 0.797 ms, longest pause 0.797 ms.
[INFO ][memory ] [YC#59] 1.664-1.664: YC 160364KB->160403KB (233624KB), 0.001 s, sum of pauses 0.540 ms, longest pause 0.540 ms.
[INFO ][memory ] [YC#60] 1.664-1.665: YC 160428KB->160467KB (233624KB), 0.001 s, sum of pauses 0.532 ms, longest pause 0.532 ms.
[INFO ][memory ] [YC#61] 1.665-1.666: YC 160492KB->160531KB (233624KB), 0.001 s, sum of pauses 0.534 ms, longest pause 0.534 ms.
[INFO ][memory ] [YC#62] 1.666-1.666: YC 160556KB->160595KB (233624KB), 0.001 s, sum of pauses 0.538 ms, longest pause 0.538 ms.
