[INFO ][memory ] Running with 32 bit heap and compressed references.
[INFO ][memory ] GC mode: Static, strategy: Generational Parallel Mark & Sweep
[INFO ][memory ] heap size: 65540K, maximal heap size: 2097152K, nursery size: 32770K
[INFO ][memory ] <s>-<end>: GC <before>K-><after>K (<heap>K), <pause> ms
[INFO ][memory ] <s/start> - start time of collection (seconds since jvm start)
[INFO ][memory ] <end>     - end time of collection (seconds since jvm start)
[INFO ][memory ] <before>  - memory used by objects before collection (KB)
[INFO ][memory ] <after>   - memory used by objects after collection (KB)
[INFO ][memory ] <heap>    - size of heap after collection (KB)
[INFO ][memory ] <pause>   - total sum of pauses during collection (milliseconds)
[INFO ][memory ]             run with -Xverbose:gcpause to see individual pauses
[INFO ][memory ] 1.410: parallel nursery GC 163601K->163629K (221792K), 0.678 ms
[INFO ][memory ] 1.411: parallel nursery GC 163665K->163693K (221792K), 0.705 ms
[INFO ][memory ] 1.411: parallel nursery GC 163729K->163757K (221792K), 0.687 ms
[INFO ][memory ] 1.412: parallel nursery GC 163793K->163821K (221792K), 0.688 ms
[INFO ][memory ] 1.413: parallel nursery GC 163857K->163885K (221792K), 0.678 ms
[INFO ][memory ] 1.414: parallel nursery GC 163921K->163949K (221792K), 0.680 ms
[INFO ][memory ] 1.414: parallel nursery GC 163985K->164013K (221792K), 0.699 ms
[INFO ][memory ] 1.415: parallel nursery GC 164049K->164077K (221792K), 0.704 ms
[INFO ][memory ] 1.416: parallel nursery GC 164113K->164141K (221792K), 0.704 ms
[INFO ][memory ] 1.417: parallel nursery GC 164177K->164205K (221792K), 0.686 ms
[INFO ][memory ] 1.418: parallel nursery GC 164241K->164269K (221792K), 1.453 ms
[INFO ][memory ] 1.419: parallel nursery GC 164305K->164333K (221792K), 0.731 ms
[INFO ][memory ] 1.420: parallel nursery GC 164369K->164397K (221792K), 0.713 ms
[INFO ][memory ] 1.421: parallel nursery GC 164433K->164461K (221792K), 0.709 ms
[INFO ][memory ] 1.422: parallel nursery GC 164497K->164525K (221792K), 0.703 ms
[INFO ][memory ] 1.422: parallel nursery GC 164561K->164589K (221792K), 1.821 ms
[INFO ][memory ] 1.424: parallel nursery GC 164625K->164653K (221792K), 0.726 ms
[INFO ][memory ] 1.425: parallel nursery GC 164689K->164717K (221792K), 1.180 ms
[INFO ][memory ] 1.426: parallel nursery GC 164753K->164781K (221792K), 0.705 ms
[INFO ][memory ] 1.427: parallel nursery GC 164817K->164845K (221792K), 0.789 ms
[INFO ][memory ] 1.428: parallel nursery GC 164881K->164909K (221792K), 0.802 ms
[INFO ][memory ] 1.429: parallel nursery GC 164945K->164973K (221792K), 1.789 ms
[INFO ][memory ] 1.431: parallel nursery GC 165009K->165101K (221792K), 0.929 ms
[INFO ][memory ] 1.432: parallel nursery GC 165137K->165165K (221792K), 0.763 ms
[INFO ][memory ] 1.433: parallel nursery GC 165201K->165229K (221792K), 0.781 ms
[INFO ][memory ] 1.434: parallel nursery GC 165265K->165293K (221792K), 0.975 ms
[INFO ][memory ] 1.435: parallel nursery GC 165329K->165357K (221792K), 0.684 ms
[INFO ][memory ] 1.435: parallel nursery GC 165393K->165421K (221792K), 0.669 ms
[INFO ][memory ] 1.436: parallel nursery GC 165457K->165485K (221792K), 0.679 ms
[INFO ][memory ] 1.437: parallel nursery GC 165521K->165549K (221792K), 1.054 ms
[INFO ][memory ] 1.438: parallel nursery GC 165585K->165613K (221792K), 0.733 ms
[INFO ][memory ] 1.439: parallel nursery GC 165649K->165677K (221792K), 0.678 ms
[INFO ][memory ] 1.440: parallel nursery GC 165713K->165741K (221792K), 0.675 ms
[INFO ][memory ] 1.440: parallel nursery GC 165777K->165805K (221792K), 0.670 ms
[INFO ][memory ] 1.441: parallel nursery GC 165841K->165869K (221792K), 3.562 ms
[INFO ][memory ] 1.445: parallel nursery GC 165905K->165933K (221792K), 0.784 ms
[INFO ][memory ] 1.446: parallel nursery GC 165969K->165997K (221792K), 0.675 ms
[INFO ][memory ] 1.446: parallel nursery GC 166033K->166061K (221792K), 0.676 ms
[INFO ][memory ] 1.447: parallel nursery GC 166097K->166125K (221792K), 0.681 ms
[INFO ][memory ] 1.448: parallel nursery GC 166161K->166189K (221792K), 0.678 ms
[INFO ][memory ] 1.449: parallel nursery GC 166225K->166253K (221792K), 0.703 ms
[INFO ][memory ] 1.450: parallel nursery GC 166289K->166317K (221792K), 1.132 ms
[INFO ][memory ] 1.451: parallel nursery GC 166353K->166381K (221792K), 0.706 ms
[INFO ][memory ] 1.452: parallel nursery GC 166417K->166445K (221792K), 0.673 ms
[INFO ][memory ] 1.452: parallel nursery GC 166481K->166509K (221792K), 0.677 ms
[INFO ][memory ] 1.453: parallel nursery GC 166545K->166573K (221792K), 0.677 ms
[INFO ][memory ] 1.454: parallel nursery GC 166609K->166637K (221792K), 0.799 ms
[INFO ][memory ] 1.455: parallel nursery GC 166673K->166701K (221792K), 0.677 ms
[INFO ][memory ] 1.455: parallel nursery GC 166737K->166765K (221792K), 0.676 ms
[INFO ][memory ] 1.456: parallel nursery GC 166801K->166829K (221792K), 0.637 ms
[INFO ][memory ] 1.457: parallel nursery GC 166865K->166957K (221792K), 0.744 ms
[INFO ][memory ] 1.458: parallel nursery GC 166993K->167021K (221792K), 0.990 ms
[INFO ][memory ] 1.459: parallel nursery GC 167057K->167085K (221792K), 0.679 ms
[INFO ][memory ] 1.460: parallel nursery GC 167121K->167149K (221792K), 0.679 ms
[INFO ][memory ] 1.460: parallel nursery GC 167185K->167213K (221792K), 0.674 ms
[INFO ][memory ] 1.461: parallel nursery GC 167249K->167277K (221792K), 0.699 ms
[INFO ][memory ] 1.462: parallel nursery GC 167313K->167341K (221792K), 0.678 ms
[INFO ][memory ] 1.463: parallel nursery GC 167377K->167405K (221792K), 0.679 ms
[INFO ][memory ] 1.464: parallel nursery GC 167441K->167469K (221792K), 0.672 ms
[INFO ][memory ] 1.464: parallel nursery GC 167505K->167533K (221792K), 0.683 ms
[INFO ][memory ] 1.465: parallel nursery GC 167569K->167597K (221792K), 0.836 ms
[INFO ][memory ] 1.466: parallel nursery GC 167633K->167661K (221792K), 0.684 ms
[INFO ][memory ] 1.467: parallel nursery GC 167697K->167725K (221792K), 0.776 ms
[INFO ][memory ] 1.468: parallel nursery GC 167761K->167789K (221792K), 0.681 ms
[INFO ][memory ] 1.468: parallel nursery GC 167825K->167853K (221792K), 0.682 ms
[INFO ][memory ] 1.469: parallel nursery GC 167889K->167917K (221792K), 0.677 ms
[INFO ][memory ] 1.470: parallel nursery GC 167953K->167981K (221792K), 0.675 ms
[INFO ][memory ] 1.471: parallel nursery GC 168017K->168045K (221792K), 0.853 ms
[INFO ][memory ] 1.472: parallel nursery GC 168081K->168109K (221792K), 0.685 ms
[INFO ][memory ] 1.472: parallel nursery GC 168145K->168173K (221792K), 0.678 ms
[INFO ][memory ] 1.473: parallel nursery GC 168209K->168237K (221792K), 0.825 ms
[INFO ][memory ] 1.474: parallel nursery GC 168273K->168301K (221792K), 0.684 ms
[INFO ][memory ] 1.475: parallel nursery GC 168337K->168365K (221792K), 0.679 ms
[INFO ][memory ] 1.476: parallel nursery GC 168401K->168429K (221792K), 0.682 ms
[INFO ][memory ] 1.476: parallel nursery GC 168465K->168493K (221792K), 0.671 ms
[INFO ][memory ] 1.477: parallel nursery GC 168529K->168557K (221792K), 0.690 ms
[INFO ][memory ] 1.478: parallel nursery GC 168593K->168621K (221792K), 0.682 ms
[INFO ][memory ] 1.479: parallel nursery GC 168657K->168685K (221792K), 0.624 ms
[INFO ][memory ] 1.479: parallel nursery GC 168721K->168813K (221792K), 0.678 ms
[INFO ][memory ] 1.480: parallel nursery GC 168849K->168877K (221792K), 0.673 ms
